new_code,kind,가로,세로,라이브,권위,근거
POSTER_PVC_PRINT,신규(라이브 없음),1000,1800,전치칸 36000,36000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1200,1800,전치칸 43200,43200,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),600,2000,전치칸 24000,24000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),800,2000,전치칸 32000,32000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1000,2000,전치칸 40000,40000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1200,2000,전치칸 48000,48000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),600,2200,전치칸 26400,26400,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),800,2200,전치칸 35200,35200,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1000,2200,전치칸 44000,44000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1200,2200,전치칸 52800,52800,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),600,2400,전치칸 28800,28800,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),800,2400,전치칸 38400,38400,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1000,2400,전치칸 48000,48000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1200,2400,전치칸 57600,57600,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),600,2600,전치칸 31200,31200,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),800,2600,전치칸 41600,41600,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1000,2600,전치칸 52000,52000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1200,2600,전치칸 62400,62400,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),600,2800,전치칸 33600,33600,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),800,2800,전치칸 44800,44800,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1000,2800,전치칸 56000,56000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1200,2800,전치칸 67200,67200,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),600,3000,전치칸 36000,36000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),800,3000,전치칸 48000,48000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1000,3000,전치칸 60000,60000,권위에 있고 라이브에 없던 칸
POSTER_PVC_PRINT,신규(라이브 없음),1200,3000,전치칸 72000,72000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,1400,전치칸 35000,35000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,1400,전치칸 39200,39200,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,1400,전치칸 49000,49000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,1400,전치칸 58800,58800,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,1600,전치칸 35000,35000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,1600,전치칸 44800,44800,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,1600,전치칸 56000,56000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,1600,전치칸 67200,67200,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,1800,전치칸 37800,37800,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,1800,전치칸 50400,50400,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,1800,전치칸 63000,63000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,1800,전치칸 75600,75600,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,2000,전치칸 42000,42000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,2000,전치칸 56000,56000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,2000,전치칸 70000,70000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,2000,전치칸 84000,84000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,2200,전치칸 46200,46200,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,2200,전치칸 61600,61600,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,2200,전치칸 77000,77000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,2200,전치칸 92400,92400,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,2400,전치칸 50400,50400,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,2400,전치칸 67200,67200,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,2400,전치칸 84000,84000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,2400,전치칸 100800,100800,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,2600,전치칸 54600,54600,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,2600,전치칸 72800,72800,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,2600,전치칸 91000,91000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,2600,전치칸 109200,109200,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,2800,전치칸 58800,58800,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,2800,전치칸 78400,78400,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,2800,전치칸 98000,98000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,2800,전치칸 117600,117600,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),600,3000,전치칸 63000,63000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),800,3000,전치칸 84000,84000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1000,3000,전치칸 105000,105000,권위에 있고 라이브에 없던 칸
POSTER_TYVEK_PRINT,신규(라이브 없음),1200,3000,전치칸 126000,126000,권위에 있고 라이브에 없던 칸
